Remark=,"""17:41:07 CO2 Mixer -> OFF""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""17:41:08 Coolers: Tblock -> 20.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""17:41:08 Flow: Fixed -> 300 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,17:47:48,wheat,1,516.0001309,0,-3.280863824,-0.000902024,-5773.330392,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,0,0.87,-1.031523624,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,-0.008293072,0.909710371,21.38515282,2,4.644859791,1,9.289719582,20.74062157,21.38515282,20.0468483,1.119511604,3.310278654,16.2922554,16.28680801,67.04892731,67.0223465,299.5198669,2.541563272,9.047245026,101.0580902,3.083570004,-0.262484014,0,0,0,0,0.25,-1.355140209,7.355140209,1,0,0.159999996,111105,1.497599335,-8.29307E-06,294.5351528,293.8906216,0.406650115,-0.024102561,2.555624085,25.28866397,9.001855957,21.06288719,2.505594124,-0.000902111,1.645913714,0.859680411,-0.000563812,-583.4417435,-1744.061753,63.64438454,3.787060125,-0.551373762,0,2.211160047,0,#DIV/0!,#DIV/0!
216,17:47:50,wheat,1,517.0001309,0,-4.205655802,-0.000948007,-7041.782385,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,0,0.87,-1.447691922,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,-0.008717132,0.909840061,21.38573074,2,4.644859791,1,9.289719582,20.74314117,21.38573074,20.04993439,1.122871518,3.931121349,16.29216576,16.2864399,67.04254913,67.01544189,299.5239258,2.545197487,9.03832531,101.0579681,3.083570004,-0.262484014,0,0,0,0,0.5,-1.355140209,7.355140209,1,0,0.159999996,111105,1.497619629,-8.71713E-06,294.5357307,293.8931412,0.407231589,-0.023947711,2.555714585,25.28959004,9.003150147,21.06443596,2.505832496,-0.000948104,1.645874524,0.859957972,-0.000592556,-711.62822,-1791.291024,63.64029885,4.542295377,-0.589237753,0,2.214321814,0,#DIV/0!,#DIV/0!
217,17:47:51,wheat,1,518.5001308,0,-5.590356977,-0.001009489,-8790.185289,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,0,0.87,-2.071317568,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,-0.009283437,0.909927295,21.38588333,2,4.644859791,1,9.289719582,20.74557114,21.38588333,20.05177689,1.122231722,4.855060101,16.29193306,16.28583527,67.0358429,67.00817871,299.5263367,2.547302485,9.024837494,101.0578308,3.083570004,-0.262484014,0,0,0,0,0.5,-1.355140209,7.355140209,1,0,0.159999996,111105,1.497631683,-9.28344E-06,294.5358833,293.8955711,0.407568388,-0.02375564,2.55573848,25.28986086,9.00402559,21.06572723,2.506031251,-0.001009599,1.645811185,0.860220067,-0.000630989,-888.3170577,-1810.520386,63.63691823,5.667461579,-0.627711516,0,2.216153162,0,#DIV/0!,#DIV/0!
218,17:47:52,wheat,1,519.5001307,0,-7.06464338,-0.001062771,-10551.34436,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,0,0.87,-2.732949933,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,-0.009774345,0.910006983,21.38585472,2,4.644859791,1,9.289719582,20.74786949,21.38585472,20.05223274,1.122769237,5.839933395,16.29144096,16.28502083,67.02856445,66.99992371,299.5316772,2.550670385,9.010025024,101.0577164,3.083570004,-0.262484014,0,0,0,0,0.75,-1.355140209,7.355140209,1,0,0.159999996,111105,1.497658386,-9.77435E-06,294.5358547,293.8978695,0.408107253,-0.023573389,2.555733999,25.28984516,9.004824333,21.06686211,2.506205945,-0.001062893,1.645727016,0.860478929,-0.000664297,-1066.294766,-1806.757655,63.63347672,6.866581022,-0.654689457,0,2.219083235,0,#DIV/0!,#DIV/0!
219,17:47:53,wheat,1,521.0001306,0,-8.373703588,-0.001077513,-12335.45969,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,0,0.87,-3.30848372,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,-0.009910745,0.910079546,21.38592339,2,4.644859791,1,9.289719582,20.74994087,21.38592339,20.05151367,1.121336818,6.712620735,16.29093742,16.28442764,67.02157593,66.99237823,299.5294189,2.561753988,8.99294281,101.0576019,3.083570004,-0.262484014,0,0,0,0,0.75,-1.355140209,7.355140209,1,0,0.159999996,111105,1.497647095,-9.91075E-06,294.5359234,293.8999409,0.409880629,-0.02345981,2.555744752,25.2899802,9.005552559,21.06793213,2.506370666,-0.001077638,1.645665206,0.860705459,-0.000673513,-1246.591975,-1837.651816,63.63068072,7.929503521,-0.671951854,0,2.22872597,0,#DIV/0!,#DIV/0!
220,17:47:55,wheat,1,522.0001305,0,-9.528909779,-0.001143024,-13232.3257,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,0,0.87,-3.811680972,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,-0.010514651,0.910189152,21.38638115,2,4.644859791,1,9.289719582,20.75182152,21.38638115,20.0501461,1.118883729,7.481575012,16.29097366,16.28406715,67.01582336,66.9858551,299.5269775,2.571921587,8.985441208,101.0575104,3.083570004,-0.262484014,0,0,0,0,0.75,-1.355140209,7.355140209,1,0,0.159999996,111105,1.497634888,-1.05147E-05,294.5363811,293.9018215,0.411507445,-0.023292292,2.555816438,25.29071247,9.006645315,21.06910133,2.506550665,-0.001143165,1.645627285,0.86092338,-0.000714465,-1337.225892,-1768.655086,63.62705731,8.866334594,-0.683818643,0,2.237571781,0,#DIV/0!,#DIV/0!
221,17:47:56,wheat,1,523.5001304,0,-10.55126285,-0.001196238,-13999.90925,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,0,0.87,-4.285700596,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,-0.011005361,0.91028157,21.387043,2,4.644859791,1,9.289719582,20.75353813,21.387043,20.04884911,1.115973234,8.161337852,16.29142189,16.28419304,67.0115509,66.98032379,299.5260925,2.561649561,8.979255676,101.0574188,3.083570004,-0.262484014,0,0,0,0,0.5,-1.355140209,7.355140209,1,0,0.159999996,111105,1.497630463,-1.10054E-05,294.537043,293.9035381,0.409863921,-0.023171835,2.555920087,25.29176102,9.007567985,21.07029057,2.50673376,-0.001196392,1.645638516,0.861095244,-0.000747731,-1414.794693,-1715.393911,63.62460906,9.694667759,-0.692463105,0,2.228635118,0,#DIV/0!,#DIV/0!
222,17:47:57,wheat,1,524.5001304,0,-11.45215808,-0.001254138,-14493.34562,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,0,0.87,-4.703601607,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,-0.01153963,0.910400125,21.38783646,2,4.644859791,1,9.289719582,20.75503922,21.38783646,20.04765129,1.111515641,8.758454323,16.29184532,16.28426552,67.00836945,66.97595978,299.5253296,2.554207563,8.972672462,101.0573196,3.083570004,-0.262484014,0,0,0,0,0.75,-1.355140209,7.355140209,1,0,0.159999996,111105,1.497626648,-1.15396E-05,294.5378365,293.9050392,0.408673201,-0.023056858,2.556044351,25.29301548,9.008749967,21.07143784,2.506910405,-0.001254307,1.645644226,0.861266179,-0.000783927,-1464.658661,-1654.783491,63.62138878,10.42270406,-0.699052949,0,2.22216058,0,#DIV/0!,#DIV/0!
223,17:47:58,wheat,1,525.5001303,0,-12.26264794,-0.001267523,-15355.12804,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,0,0.87,-5.077453749,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,-0.011664467,0.910527828,21.38861084,2,4.644859791,1,9.289719582,20.75642204,21.38861084,20.04635429,1.107376814,9.295520782,16.29188347,16.28422165,67.00312042,66.97097015,299.5246887,2.549618959,8.975851059,101.0571976,3.083570004,-0.262484014,0,0,0,0,0.5,-1.355140209,7.355140209,1,0,0.159999996,111105,1.497623444,-1.16645E-05,294.5386108,293.906422,0.407939024,-0.023013347,2.556165632,25.29424617,9.01002452,21.07251644,2.507076488,-0.001267696,1.645637804,0.861438683,-0.000792294,-1551.746208,-1651.884645,63.61793772,11.07755248,-0.704238932,0,2.218168495,0,#DIV/0!,#DIV/0!
224,17:47:59,wheat,1,526.5001302,0,-12.98568699,-0.001218157,-16919.99585,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,0,0.87,-5.421040348,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,-0.011211471,0.910636607,21.38925171,2,4.644859791,1,9.289719582,20.75759506,21.38925171,20.04495811,1.103311896,9.774252892,16.29152489,16.28416061,66.99719238,66.96671295,299.5245056,2.541329861,8.982584,101.0570602,3.083570004,-0.262484014,0,0,0,0,0.5,-1.355140209,7.355140209,1,0,0.159999996,111105,1.497622528,-1.12115E-05,294.5392517,293.9075951,0.406612769,-0.023072734,2.556266008,25.29527379,9.011113179,21.07342339,2.507216146,-0.001218316,1.6456294,0.861586746,-0.000761433,-1709.88504,-1731.078174,63.61519539,11.66135802,-0.708396924,0,2.210956979,0,#DIV/0!,#DIV/0!
225,17:48:00,wheat,1,528.0001301,0,-13.61975312,-0.001194265,-18101.45381,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,0,0.87,-5.700682493,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,-0.010993718,0.910813917,21.39010048,2,4.644859791,1,9.289719582,20.75861549,21.39010048,20.04368782,1.100204229,10.19449997,16.29096985,16.28374863,66.9909668,66.9616394,299.5254517,2.544513464,8.989254951,101.0568924,3.083570004,-0.262484014,0,0,0,0,0.75,-1.355140209,7.355140209,1,0,0.159999996,111105,1.497627258,-1.09937E-05,294.5401005,293.9086155,0.407122145,-0.023100556,2.55639895,25.29663133,9.012882701,21.07435799,2.50736007,-0.001194419,1.645585033,0.861775037,-0.000746498,-1829.27667,-1775.609777,63.61007946,12.17374881,-0.711657183,0,2.213726714,0,#DIV/0!,#DIV/0!
226,17:48:01,wheat,1,529.00013,0,-14.17304142,-0.001173859,-19164.50551,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,0,0.87,-5.931676864,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,-0.010807975,0.910991452,21.39095688,2,4.644859791,1,9.289719582,20.75950623,21.39095688,20.04294777,1.098125458,10.56177521,16.29044914,16.28334999,66.98457336,66.95549774,299.5283203,2.552638531,9.000769615,101.0567017,3.083570004,-0.262484014,0,0,0,0,0.5,-1.355140209,7.355140209,1,0,0.159999996,111105,1.497641602,-1.0808E-05,294.5409569,293.9095062,0.408422156,-0.023125703,2.556533094,25.29800648,9.014656492,21.07523155,2.507494601,-0.001174007,1.645541642,0.861952959,-0.000733741,-1936.701715,-1814.515565,63.60495799,12.62142897,-0.714242187,0,2.220795522,0,#DIV/0!,#DIV/0!
227,17:48:03,wheat,1,530.00013,0,-14.68872147,-0.001212464,-19229.01025,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,0,0.87,-6.14843929,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,-0.011165174,0.911129859,21.39162827,2,4.644859791,1,9.289719582,20.75786018,21.39162827,20.03630066,1.090844154,10.89879704,16.29036713,16.28303337,66.98475647,66.95596313,299.5292358,2.559049845,8.987391472,101.0566254,3.083570004,-0.262484014,0,0,0,0,0.5,-1.355140209,7.355140209,1,0,0.159999996,111105,1.497646179,-1.11652E-05,294.5416283,293.9078602,0.409447966,-0.02315868,2.556638262,25.29906627,9.016032896,21.07474422,2.507419551,-0.001212622,1.645508403,0.861911147,-0.000757874,-1943.218885,-1764.324098,63.60076074,13.03339042,-0.716784988,0,2.226373365,0,#DIV/0!,#DIV/0!
228,17:48:04,wheat,1,531.5001299,0,-15.13798425,-0.001325126,-18131.17289,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,0,0.87,-6.353866471,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,-0.012204753,0.911275537,21.39201355,2,4.644859791,1,9.289719582,20.75605774,21.39201355,20.02994919,1.087913513,11.19583607,16.29022408,16.28220749,66.98554993,66.9549942,299.5298157,2.557585478,8.977157593,101.0565109,3.083570004,-0.262484014,0,0,0,0,0.5,-1.355140209,7.355140209,1,0,0.159999996,111105,1.497649078,-1.22048E-05,294.5420135,293.9060577,0.409213667,-0.023075863,2.556698616,25.29969215,9.017484657,21.07403564,2.50731043,-0.001325315,1.645423079,0.861887351,-0.000828305,-1832.273071,-1619.456803,63.59536251,13.39571719,-0.718666707,0,2.225099366,0,#DIV/0!,#DIV/0!
229,17:48:05,wheat,1,532.5001298,0,-15.52585094,-0.001383575,-17809.59178,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,0,0.87,-6.540885385,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,-0.012744895,0.91139835,21.39244843,2,4.644859791,1,9.289719582,20.75417137,21.39244843,20.02399063,1.087303638,11.45418549,16.29005241,16.28168106,66.98655701,66.95483398,299.5307007,2.552617788,8.971233368,101.0564194,3.083570004,-0.262484014,0,0,0,0,0.5,-1.355140209,7.355140209,1,0,0.159999996,111105,1.497653503,-1.27449E-05,294.5424484,293.9041714,0.408418837,-0.023085039,2.556766739,25.30038918,9.018708121,21.0733099,2.50719867,-0.001383781,1.645368389,0.861830281,-0.000864844,-1799.773576,-1554.854494,63.59119406,13.71043214,-0.72011399,0,2.220777476,0,#DIV/0!,#DIV/0!
230,17:48:06,wheat,1,534.0001297,0,-15.43972669,-0.001411121,-17364.78387,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,0,0.87,-6.514899234,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,-0.013000596,0.911532013,21.39304352,2,4.644859791,1,9.289719582,20.75220299,21.39304352,20.01885414,1.086002827,11.39524555,16.28983116,16.28129196,66.987854,66.95529175,299.5346069,2.547604561,8.961773872,101.0563507,3.083570004,-0.262484014,0,0,0,0,0.5,-1.355140209,7.355140209,1,0,0.159999996,111105,1.497673035,-1.30006E-05,294.5430435,293.902203,0.407616721,-0.023152403,2.556859964,25.30132887,9.020036911,21.07262325,2.507092935,-0.001411335,1.64532795,0.861764985,-0.000882065,-1754.821688,-1523.862192,63.58706389,13.63897647,-0.71982446,0,2.216415968,0,#DIV/0!,#DIV/0!
231,17:48:08,wheat,1,535.0001296,0,-14.81267387,-0.001368458,-17179.28025,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,0,0.87,-6.243658545,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,-0.012608554,0.911608717,21.39358902,2,4.644859791,1,9.289719582,20.75021172,21.39358902,20.01513863,1.085169911,10.97573853,16.28966522,16.28138351,66.98925018,66.9569931,299.5340881,2.542841911,8.958029747,101.0563202,3.083570004,-0.262484014,0,0,0,0,0.75,-1.355140209,7.355140209,1,0,0.159999996,111105,1.497670441,-1.26086E-05,294.543589,293.9002117,0.406854697,-0.02332775,2.556945422,25.30218216,9.02079865,21.07190037,2.506981624,-0.001368659,1.645336706,0.861644919,-0.000855394,-1736.074846,-1565.204948,63.58536661,13.12834491,-0.717431866,0,2.212272463,0,#DIV/0!,#DIV/0!
232,17:48:09,wheat,1,536.0001296,0,-13.70345914,-0.001272286,-17094.99985,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,0,0.87,-5.763216327,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,-0.011722957,0.911656366,21.39422035,2,4.644859791,1,9.289719582,20.7482605,21.39422035,20.01311684,1.085903168,10.23577499,16.28958702,16.28188705,66.99149323,66.95993805,299.5359802,2.533598661,8.955295563,101.0563431,3.083570004,-0.262484014,0,0,0,0,0.75,-1.355140209,7.355140209,1,0,0.159999996,111105,1.497679901,-1.1723E-05,294.5442204,293.8982605,0.405375777,-0.023591034,2.55704433,25.30315517,9.021268118,21.07124043,2.506880009,-0.00127246,1.645387964,0.861492045,-0.000795272,-1727.55817,-1670.122669,63.58522144,12.22718815,-0.712622945,0,2.204230835,0,#DIV/0!,#DIV/0!
233,17:48:10,wheat,1,537.5001295,0,-12.47711432,-0.001207034,-16407.09526,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,0,0.87,-5.225871538,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,-0.011121776,0.911667565,21.394701,2,4.644859791,1,9.289719582,20.74644661,21.394701,20.01260376,1.085943341,9.417038918,16.28982162,16.28251648,66.99461365,66.96370697,299.5336914,2.524379969,8.957122803,101.0563736,3.083570004,-0.262484014,0,0,0,0,0.75,-1.355140209,7.355140209,1,0,0.159999996,111105,1.497668457,-1.11218E-05,294.544701,293.8964466,0.403900786,-0.023794232,2.557119634,25.3038927,9.021376217,21.07057381,2.506777369,-0.00120719,1.645452068,0.861325301,-0.00075448,-1658.041548,-1742.277525,63.58607687,11.23023728,-0.706459472,0,2.196210573,0,#DIV/0!,#DIV/0!
234,17:48:11,wheat,1,538.5001294,0,-11.38839248,-0.00112608,-16052.66869,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,0,0.87,-4.758720192,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,-0.010375599,0.911652315,21.39498901,2,4.644859791,1,9.289719582,20.74487495,21.39498901,20.01320457,1.084986448,8.689048767,16.28992271,16.28310776,66.99726105,66.96722412,299.5368042,2.509221077,8.956953049,101.0564117,3.083570004,-0.262484014,0,0,0,0,0.75,-1.355140209,7.355140209,1,0,0.159999996,111105,1.497684021,-1.03756E-05,294.544989,293.894875,0.401475363,-0.024007274,2.557164757,25.30432966,9.021221903,21.06993198,2.506678551,-0.001126217,1.645512442,0.861166109,-0.000703873,-1622.225097,-1847.459846,63.58762677,10.34403197,-0.700075998,0,2.183022337,0,#DIV/0!,#DIV/0!
235,17:48:12,wheat,1,539.5001293,0,-10.42904084,-0.001032551,-16032.74711,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,0,0.87,-4.342142671,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,-0.009513185,0.911600063,21.39496422,2,4.644859791,1,9.289719582,20.74355507,21.39496422,20.01451683,1.082698822,8.046168327,16.28983116,16.28358269,66.99888611,66.97020721,299.5379639,2.495997667,8.955783844,101.0564346,3.083570004,-0.262484014,0,0,0,0,0.75,-1.355140209,7.355140209,1,0,0.159999996,111105,1.497689819,-9.51318E-06,294.5449642,293.8935551,0.399359618,-0.024215032,2.557160872,25.30428549,9.0207028,21.06925964,2.506575038,-0.001032665,1.645560809,0.861014229,-0.000645406,-1620.21226,-1992.594047,63.59001708,9.561736694,-0.693579949,0,2.171517971,0,#DIV/0!,#DIV/0!
236,17:48:13,wheat,1,541.0001292,0,-9.570596816,-0.000947577,-16033.14215,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,0,0.87,-3.939765983,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,-0.008729111,0.91148512,21.39438629,2,4.644859791,1,9.289719582,20.74242401,21.39438629,20.01607513,1.081203341,7.471502781,16.28955269,16.2838192,67.00030518,66.97260284,299.5372009,2.500468493,8.962801933,101.0564651,3.083570004,-0.262484014,0,0,0,0,0.75,-1.355140209,7.355140209,1,0,0.159999996,111105,1.497686005,-8.72911E-06,294.5443863,293.892424,0.40007495,-0.024367551,2.557070328,25.30338186,9.019562666,21.06840515,2.506443486,-0.000947674,1.645585207,0.860858279,-0.000592287,-1620.252671,-2145.905934,63.59366433,8.862320403,-0.686760683,0,2.175407588,0,#DIV/0!,#DIV/0!
237,17:48:15,wheat,1,542.0001292,0,-8.815370844,-0.000858512,-16300.81006,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,0,0.87,-3.585338567,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,-0.007907306,0.911341118,21.39360809,2,4.644859791,1,9.289719582,20.7414856,21.39360809,20.01775169,1.078475714,6.964509487,16.28922653,16.28403282,67.00122833,66.97492981,299.5370483,2.505533218,8.975878716,101.0564957,3.083570004,-0.262484014,0,0,0,0,0.75,-1.355140209,7.355140209,1,0,0.159999996,111105,1.497685242,-7.90731E-06,294.5436081,293.8914856,0.400885306,-0.024509577,2.55694841,25.3021678,9.018134976,21.06754684,2.506311353,-0.000858591,1.645607292,0.860704061,-0.000536612,-1647.302741,-2340.553932,63.59804806,8.245576212,-0.679928684,0,2.1798139,0,#DIV/0!,#DIV/0!
238,17:48:16,wheat,1,543.0001291,0,-8.131857779,-0.000782347,-16501.47822,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,0,0.87,-3.251569595,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,-0.007204572,0.911195082,21.39290047,2,4.644859791,1,9.289719582,20.74067688,21.39290047,20.01938057,1.07676208,6.506406307,16.28910446,16.28437233,67.00221252,66.97734833,299.5372925,2.521101713,8.991076469,101.0565491,3.083570004,-0.262484014,0,0,0,0,0.75,-1.355140209,7.355140209,1,0,0.159999996,111105,1.497686462,-7.20457E-06,294.5429005,293.8906769,0.403376265,-0.024622633,2.556837554,25.30105745,9.016685122,21.06678867,2.506194641,-0.000782413,1.645642471,0.860552169,-0.000489002,-1667.582444,-2536.189325,63.60261595,7.688143593,-0.672733828,0,2.19335849,0,#DIV/0!,#DIV/0!
239,17:48:17,wheat,1,544.500129,0,-7.516728213,-0.00075813,-15740.62691,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,0,0.87,-2.964233255,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,-0.00698098,0.911122638,21.39257813,2,4.644859791,1,9.289719582,20.74008942,21.39257813,20.0208416,1.075751543,6.094667912,16.2891674,16.28458214,67.00335693,66.97940063,299.5375977,2.52695775,8.999883652,101.0565948,3.083570004,-0.262484014,0,0,0,0,0.75,-1.355140209,7.355140209,1,0,0.159999996,111105,1.497687988,-6.98098E-06,294.5425781,293.8900894,0.404313231,-0.024667773,2.556787057,25.3005463,9.015964167,21.06633377,2.506124616,-0.000758192,1.645664419,0.860460196,-0.000473864,-1590.694157,-2582.688202,63.60489141,7.18701338,-0.665228596,0,2.198453243,0,#DIV/0!,#DIV/0!
240,17:48:18,wheat,1,545.5001289,0,-6.972144529,-0.000774926,-14283.56855,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,0,0.87,-2.717386616,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,-0.007134868,0.911023062,21.39212608,2,4.644859791,1,9.289719582,20.73961067,21.39212608,20.0220108,1.076786757,5.732099533,16.28954697,16.28486061,67.00519562,66.98143005,299.5367126,2.526152849,9.006249428,101.056633,3.083570004,-0.262484014,0,0,0,0,0.75,-1.355140209,7.355140209,1,0,0.159999996,111105,1.497683563,-7.13487E-06,294.5421261,293.8896107,0.404184447,-0.024643302,2.556716244,25.29983603,9.014975415,21.06586838,2.506052977,-0.00077499,1.645693182,0.860359795,-0.000484363,-1443.449345,-2491.856337,63.60780331,6.745305048,-0.657468854,0,2.197752979,0,#DIV/0!,#DIV/0!
241,17:48:19,wheat,1,546.5001288,0,-6.502918822,-0.000863649,-11952.97149,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,0,0.87,-2.50462592,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,-0.007950802,0.910905529,21.39154816,2,4.644859791,1,9.289719582,20.7392807,21.39154816,20.02289009,1.076860785,5.418908119,16.29033661,16.28511429,67.00793457,66.98348999,299.5343628,2.525404692,9.008056641,101.0567169,3.083570004,-0.262484014,0,0,0,0,0.75,-1.355140209,7.355140209,1,0,0.159999996,111105,1.497671814,-7.9508E-06,294.5415482,293.8892807,0.404064742,-0.02449559,2.556625713,25.29891917,9.013804884,21.06541443,2.505983103,-0.000863729,1.645720185,0.860262918,-0.000539824,-1207.928056,-2205.789658,63.61087462,6.363924848,-0.650001946,0,2.197102082,0,#DIV/0!,#DIV/0!
242,17:48:20,wheat,1,548.0001287,0,-6.077460179,-0.000962806,-10019.8073,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,0,0.87,-2.306747212,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,-0.008862519,0.910781012,21.39094734,2,4.644859791,1,9.289719582,20.73899841,21.39094734,20.02354813,1.075614095,5.133629322,16.29122162,16.28540039,67.01089478,66.98563385,299.5309448,2.53003931,9.012189865,101.0568085,3.083570004,-0.262484014,0,0,0,0,0.5,-1.355140209,7.355140209,1,0,0.159999996,111105,1.497654724,-8.86252E-06,294.5409473,293.8889984,0.404806281,-0.024325466,2.5565316,25.29796496,9.012564571,21.06497288,2.505915138,-0.000962906,1.645750588,0.86016455,-0.000601807,-1012.569747,-1951.797972,63.61413345,6.016817579,-0.642552907,0,2.2011342,0,#DIV/0!,#DIV/0!
243,17:48:21,wheat,1,549.0001287,0,-5.711472043,-0.001092857,-8295.132003,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,0,0.87,-2.141389826,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,-0.010058846,0.910699496,21.39066315,2,4.644859791,1,9.289719582,20.73880386,21.39066315,20.02391434,1.070812464,4.884478092,16.29235268,16.28574562,67.01443481,66.9877243,299.5292053,2.528958082,9.015679359,101.0569382,3.083570004,-0.262484014,0,0,0,0,0.75,-1.355140209,7.355140209,1,0,0.159999996,111105,1.497646027,-1.00588E-05,294.5406631,293.8888039,0.404633284,-0.024120491,2.556487084,25.29749199,9.011746368,21.06473351,2.505878293,-0.001092985,1.645787588,0.860090705,-0.000683104,-838.280642,-1698.263734,63.61624947,5.714480246,-0.635827608,0,2.200193532,0,#DIV/0!,#DIV/0!
